OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Year,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartment in Tract,Level of Concern,PROPERTIES,Shape__Area,Shape__Length
1,53033001201,12.01,Census Tract 12.01,Northgate/Maple Leaf,8.1,2001,1.51,1073,0.055944055944056,0.0519607843137255,Low,Stable,1209,,21,10851861.641449,15899.7733430541
2,53033000404,4.04,Census Tract 4.04,Broadview/Bitter Lake,9.1,2001,1.29,1043,0.0403225806451613,0.041958041958042,Low,Stable,454,,7,6791652.7237854,12962.5584131713
3,53033004901,49.01,Census Tract 49.01,Fremont,11.1,2001,1.78,1059,0.0470588235294118,0.0526838966202783,Medium,Stable,977,,106,5350888.21542358,9379.65576684679
4,53033003601,36.01,Census Tract 36.01,Green Lake,9.4,2001,2.1,1202,0.0552763819095478,0.0553116769095698,Medium,Stable,412,,34,7255879.06799316,11894.2888948854
5,53033002800,28,Census Tract 28,Greenwood/Phinney Ridge,9.3,2001,1.59,998,0.0529801324503312,0.0527426160337553,Low,Stable,290,,31,10637151.8217773,13201.311297987
6,53033003100,31,Census Tract 31,Sunset Hill/Loyal Heights,10.3,2001,1.33,917,0.0555555555555556,0.052812858783008,Low,Stable,107,,14,23137464.0452271,24704.5678017235
7,53033006400,64,Census Tract 64,Miller Park,6.4,2001,1.78,1501,0.0532544378698225,0.0540730337078652,High,Stable,103,,5,9726351.90356445,13186.7701844683
8,53033004301,43.01,Census Tract 43.01,Ravenna/Bryant,7.3,2001,2.64,1701,0.0517928286852591,0.0512978986402967,High,Stable,69,,8,10539780.5728455,17192.703749828
9,53033002500,25,Census Tract 25,Ravenna/Bryant,7.3,2001,0,0,0,0,,,0,,0,10594634.2979736,16442.9685869958
10,53033002200,22,Census Tract 22,Wedgwood/View Ridge,7.4,2001,1.95,1663,0.0483870967741935,0.0512010113780025,High,Stable,73,,5,30127208.0188904,28505.8067930163
11,53033004000,40,Census Tract 40,Laurelhurst/Sand Point,7.5,2001,1.31,884,0.0564516129032259,0.0548926014319809,Low,Stable,54,,2,26374983.680542,27560.0138429836
12,53033005804,58.04,Census Tract 58.04,Interbay,12.2,2001,1.92,1279,0.0491803278688524,0.0475020475020475,Medium,Stable,572,,34,25124062.7388306,48668.2722430527
13,53033006800,68,Census Tract 68,Queen Anne,12.3,2001,2.53,1689,0.0497925311203318,0.051681195516812,High,Stable,234,,23,7729250.27154541,11275.3773479613
14,53033008102,81.02,Census Tract 81.02,Downtown Commercial Core,13.2,2001,3.3,2889,0.0543130990415335,0.0528425655976676,High,Stable,173,,5,5987812.08642578,14339.9950294181
15,53033008101,81.01,Census Tract 81.01,Downtown Commercial Core,13.2,2001,1.69,1478,0.0562499999999999,0.0602582496413199,Medium,Stable,885,,5,2992165.47857666,11427.1467556707
16,53033007902,79.02,Census Tract 79.02,Central Area/Squire Park,5.3,2001,1.9,1293,0.0497237569060773,0.0520748576078112,Medium,Stable,176,,13,4641637.80010986,9715.12087740264
17,53033007302,73.02,Census Tract 73.02,Cascade/Eastlake,11.3,2001,2.66,2151,0.047244094488189,0.0482456140350877,High,Stable,663,,4,3368769.26522827,7802.42635391176
18,53033007101,71.01,Census Tract 71.01,Queen Anne,12.3,2001,2.24,1491,0.0516431924882631,0.0514809590973202,High,Stable,370,,13,5328474.60678101,9004.94722654019
19,53033009300,93,Census Tract 93,Duwamish/SODO,3.3,2001,2.08,1494,0.0505050505050506,0.0528541226215645,High,Stable,261,,10,102171584.839813,53946.3734519274
20,53033010502,105.02,Census Tract 105.02,West Seattle Junction/Genesee Hill,1.3,2001,1.72,1165,0.0552147239263804,0.0523938572719061,Medium,Stable,379,,22,10504351.3417664,14546.1362419116
21,53033010001,100.01,Census Tract 100.01,North Beacon Hill/Jefferson Park,3.6,2001,1.87,1189,0.050561797752809,0.052212389380531,Medium,Stable,198,,16,25052474.6053925,25628.9245317132
22,53033009801,98.01,Census Tract 98.01,West Seattle Junction/Genesee Hill,1.3,2001,2.04,1371,0.0515463917525774,0.0513803680981595,High,Stable,219,,19,10814248.9397583,13291.5490832838
23,53033008900,89,Census Tract 89,Madrona/Leschi,5.1,2001,2.18,1506,0.0480769230769231,0.0516759776536313,High,Stable,234,,15,13690717.169342,19328.7463975703
